year,elec_LCO_average,elec_LCO_high,elec_LCO_low,h2_capex_average,h2_capex_high,h2_capex_low,h2_flh_average,h2_flh_high,h2_flh_low,h2_elecdemand_average,h2_elecdemand_high,h2_elecdemand_low,co2_LCO_average,co2_LCO_high,co2_LCO_low,ch3oh_capex_average,ch3oh_capex_high,ch3oh_capex_low,MtJ_capex_average,MtJ_capex_high,MtJ_capex_low
2024,50.0,58.16496580927726,41.83503419072274,291.4383561643836,310.73228222055246,272.14443010821475,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.5384615384615383,1.5384615384615383,1.5384615384615383,500.0,581.6496580927726,418.3503419072274,153.33333333333334,173.8813800098966,132.7852866567701,183.33333333333334,203.8813800098966,162.7852866567701
2025,48.611111111111114,57.118551572840865,40.103670649381364,262.5570776255708,282.2082986087058,242.90585664243585,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.5235971757710887,1.5235971757710887,1.5235971757710887,483.3333333333333,558.1788532517082,408.48781341495845,142.21666666666667,162.1404427106763,122.29289062265704,171.89777777777775,191.05722981767533,152.73832573788016
2026,47.22222222222222,56.07632080583846,38.36812363860598,233.67579908675802,253.6843149968591,213.66728317665695,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.5087328130806392,1.5087328130806392,1.5087328130806392,466.6666666666667,534.7080484106439,398.6252849226895,131.1,150.41161615501193,111.78838384498805,160.4622222222222,178.2347947935319,142.68964965091251
2027,45.833333333333336,55.03780084765605,36.62886581901062,204.79452054794524,225.1603313850124,184.42870971087808,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.4938684503901893,1.4938684503901896,1.4938684503901891,450.0,511.23724356957945,388.76275643042055,119.98333333333333,138.69608893538785,101.27057773127883,149.02666666666667,165.41451039981905,132.6388229335143
2028,44.44444444444445,54.00258363004737,34.88630525884153,175.9132420091324,196.63634777316562,155.19013624509918,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.47900408769974,1.47900408769974,1.47900408769974,433.3333333333333,487.766438728515,378.9002279381516,108.86666666666667,126.99517909772298,90.73815423561037,137.5911111111111,152.5969720237144,122.58525019850782
2029,43.05555555555555,52.97031572087486,33.14079539023624,147.03196347031962,168.11236416131894,125.9515627793203,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.4641397250092905,1.4641397250092905,1.4641397250092905,416.6666666666667,464.2956338874507,369.03769944588265,97.75,115.31034568967083,80.18965431032917,126.15555555555555,139.78301512515205,112.52809598595904
2030,41.666666666666664,51.940690004948294,31.392643328385038,118.15068493150686,139.58838054947228,96.71298931354146,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.4492753623188408,1.4492753623188408,1.4492753623188408,400.0,440.8248290463863,359.1751709536137,86.63333333333333,103.64319975125547,69.62346691541119,114.71999999999998,126.97384837510239,102.46615162489758
2035,37.5,47.23610120462327,27.763898795376733,103.38184931506851,123.47968895691108,83.28400967322594,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.4202898550724639,1.4202898550724639,1.4202898550724639,325.0,365.8248290463863,284.1751709536137,78.30833333333334,93.46565188100382,63.15101478566286,106.87333333333333,118.13508669987839,95.61157996678828
2040,33.333333333333336,42.53780084765605,24.12886581901062,88.61301369863014,107.37099736434988,69.8550300329104,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.391304347826087,1.391304347826087,1.391304347826087,250.0,290.8248290463863,209.1751709536137,69.98333333333333,83.37178191991556,56.59488474675111,99.02666666666666,109.32527930246485,88.72805403086846
2045,29.166666666666668,37.84694443999986,20.486388893333476,73.84417808219179,91.26230577178869,56.42605039259489,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.3623188405797102,1.3623188405797102,1.3623188405797102,175.0,215.8248290463863,134.1751709536137,61.65833333333333,73.39947065284184,49.91719601382482,91.17999999999999,100.55335585582878,81.8066441441712
2050,25.0,33.16496580927726,16.835034190722737,59.07534246575343,75.15361417922749,42.99707075227937,0.4280821917808219,0.47468587790683364,0.3814785056548102,1.3333333333333333,1.3333333333333333,1.3333333333333333,100.0,140.8248290463863,59.175170953613694,53.333333333333336,63.607356671614966,43.059309995051706,83.33333333333333,91.8316991893213,74.83496747734536
